IDX	상호명	리뷰	점수
22	투다리	무슨 가게에 앞치마도 없고 사장님도 뭔가 화나신거처럼 불친절 했어요 좀 기분이 안 좋았어요	1점
23	비어스업	최고예요	5점
24	소문난회집	단체방문 예약하려는데 전화번호가 없네요	3점
25	지오다노스퀘어원	혹시 직원분들 줄초상 났나요? 표정들이 너무들 안좋으셔서 제가 너무 걱정이 되네요...	1점
26	인천커피교육학원	최고예요	5점
27	상아컴퓨터학원	정말 최고	5점
28	부동산메카	"메카부동산 여사장님, 빌라 쪽 꼼꼼히 신경써주시고 너무 감사해요~소개받고 갔는데 애엄마한테 칭찬많이 했습니다 다시 연락드릴께요"	5점
29	팔도부페	맛  가격    인생에 최강 지리네..    위치만 좋아도 여기 대박일듯  골목에 숨어서 찾기어렵	5점
30	다복부동산	최고예요	5점
31	강친학원	원생관리도잘안돼서 사람별로없어요 여자 조교선생님은 한쪽에 무선이어폰꼽고 근무중임.. 기본태도가 좀 없는듯 얘기하면 잘안들린다고 그때서야 이어폰 빼고 대화함 왜안잘리는지 모르겠으 화장실은 2칸씩밖에없어서 매우불편 화장실도 시설이 노후함 	1점
32	중앙공인중개사사무소	부평4동 최고 요지 시장3분 평형30평 (실평18평) 방3 은행융자없읍  일억삼천요 (열락처 010.3033.4767)	4점
33	우일화원	결혼 기념일 와이프님께 드릴 선물과 함께 같이줄꽃다발 잘하는곳 검색하니 여기가 떠서 찾아간 곳인데 꽃 한다발 맘에 드네요~~ 검색창에 젤위에 뜨는데는 이유가 있는가 봅니다~~	5점
34	살롱다알리아	친절하고 좋은 재료 좋은 기기를 많이 쓰는것같아 좋아요~!	5점
35	기연마스타	20년 이상을 거래해 오지만 변함없는 성실과 친절함으로 모든 업무를 진행하시는 사장님과 사모님을 보면서 감사가 나옵니다. 오랜 세월 동안 어려움도 있었지만 끊임없는 도전과 노력으로 어려운 불황기를 이기고 성공적으로 전진하시는 것에 마음으로부터 박수를 보냅니다. 신 주소 : 인천 미추홀구 염전로 114(모리스) C동 1층 (남구 도화동 952)	5점
36	명희네순대국	"맛있어서 순삭 했어여,,허허"	5점
37	김밥나라	우엉김밥최고!	5점
38	한담	맛있고 깔끔하고 가격도 적당해요!!	5점
39	본죽	 친절하고 맛있어요~~~	5점
40	가마솥보신탕	맛있어요	5점
41	해사랑팬션	새건물. 집만큼 편안합니다.	5점
42	교동소머리국밥	소머리국밥 궁물깔끔하고 고기양이 적은듯 보이는데 먹다보니 모자라지 않네요 배추김치(안익은맛) 맛나요	4점
43	이가네김밥	김밥 다 터지고 제발 가지마세요 맛도없고 짜고 1점도 아까움 제발 가지 마세요 제발~~	1점
44	아카이브	인테리어가 특색이 없고 개성이 없어서 너무 아쉽네요. 커피는 로스팅 안하는 듯 하고요. 까페 이름도 왜 아카이브인지 모르겠네요. 걍 커피숍 입니다.	2점
45	카카오호텔	최고예요	5점
46	광해할인마트	진짜 ㅋㅋㅋㅋㅋㅋㅋ 이마트물같은거 가져다가 파는건 뭐임?ㅋㅋㅋㅋㅋ쓰레기봉투 사는ㄷ 카드도 안받는 노양심업주 걍 신고해야겠다~	1점
47	24시명가전주콩나물국밥	가성비짱. 오징어젓갈 맛있쩡.	4점
48	용담골	옛날식 포장마차 그날그냥 장봐와서 판매하는거라 종종 메뉴에 없는것도 있다 가격은 주인에게 물어보는것이 편함	5점
49	아르떼게스트로펍	로제파스타 맛있어요	5점
50	농산물도매시장	상한 과일 팔고 자기꺼 아니라고 잡아떼는 도떼기시장 클라스 ㄷㄷ  가격이 저렴한 것도 아니고.. 전체적으로 담배냄새 썩은 내 진동하고..   장점이 없는 곳.. 찾아가면 안되는 곳 중 하나..  인터넷으로 사면 썩은거 환불이나 보상이라도 해주지 여긴 찾아가면 오히려 역공하려고 발광	1점
51	마스터공인중개사	불친절합니다. 장사할 생각이 있는지..	1점
52	곱창시대	곱창 맛집~ 줄 서서 먹는 집입니다^^ 	5점
53	대박청과삼산동	주변 가게보다 가격이 저렴하구 물건 종류도 많네요!! 굿굿	5점
54	올데이인더키친	말그대로 최고bb	5점
55	오늘짬뽕	간짜장이 맛남	5점
56	미스반점	깐풍기 포장 주문했는데 집에 와서 열어보니 고기가 상한 걸 사용했는지 냄새 나서 걍 쓰레기통에다 버림	1점
57	가마애치킨	최고예요	5점
58	육심	평일이고 자리가 많이 남았는데도 2시간이 지났다며 식사 중에 고기를 더 줄 수 없다고 냉정하게 불을 빼버리더군요. 돈 쓰고 쫒겨난 기분이었습니다. 다시는 이곳을 이용하지 않겠다고 다짐했습니다. 2시간 지나면 먹는 중이어도 술을 많이 먹어도 냉정하게 쫒겨납니다. 참고하세요.	1점
59	보배공인중개사사무소	사장님 안녕하세요~! 급하게 이사잡혀서 인터넷보고 문의드렸는데 너무 친절하게 상담해주시고 제가 정신없어 신경못쓰고 있는부분 까지 세심하게 신경써주셔서 너무 감사드려요. 이사하고 정신없어 이제야 인사드려요 ...저희때문에 추운날 주말까지 너무 고생많으셨어요^^ 덕분에 너무 좋은 조건에 계약했습니다~ 다시한번 감사드리고 여기 추천드려요~	5점
60	꼬꼬별어린이집	좋아요	5점
61	GS25만수상아	태도나쁨 외국인차별 	1점
62	인천계산동우체국	손님에게 제약을 많이 갈더군요 원래 타지역에서도 잘 이용하던 우체국인데 유독 이상하게 테클을 걸고 갑질을 함... 예를 들면 이렇게 되는데 이영 할꺼야? 이런식으로.. 밑에분 보니 저만 느낀게 아니군요... 이글은 직원분들이 보신다면 한번쯤 생각 해 보시길...	1점
63	우리백반부페	최고~	5점
64	경서살롱	섭섭하지 않은 두께의 고기와 바삭한 튀김옷의 괜찮은 돈가스였습니다. 소스는 붉은계열(?)이니 참고. 양과 맛 모두 만족했습니다.	5점
65	월드인테리어	사장님이 전문가 처럼 꼼꼼하게 해주시고 친절하게 저희 사무실을 설비해주셨어요. ^^	5점
66	화선정	다양한 버섯을 넣은 버섯짬뽕이 특징적입니다. 이것만큼은 꼭 드셔보시길 권합니다. 사장님이 접객 마인드가 아주 훌륭하신 것도 인상적이었어요. 	5점
67	청수한방횡계백숙	최고예요	5점
68	옛날통닭	맛있어요 JMT임진심	5점
69	포레스트	음료마시러 왔다가 여자 훈련사님이 전문지식 탄탄하시고 친절하셔서 감동했어요! 처음으로 애견 유치원 보내고싶었습니다! 카페도 깨끗하고 좋아요!	5점
70	알벤토카페	지나가다 민성이랑 들렸는데 수제빵과 커피가 맛있네요~ 다음에 기회되면 또 먹고싶네요!..	5점
71	어촌회마을	최고예요	5점
72	로또	1등 2등도 여러번 나오고 친절해서 좋아요.	5점
73	마을순두부	두부해물뚝배기 가 해장국용으로 딱조아~^^	5점
74	뷰티플러스	매직이랑 파마했는데 안한거랑 똑같아요	1점
75	신라반점	"아래 평도 공감이 갑니다만, 저는 5점을 줍니다. 탕수육 고기 튀김 식감 놀랍고 면 자체가 맛있는 짜장, 짬뽕. 기본기가 탄탄하고 속이 편한 집입니다."	5점
76	푸짐한밥상	맛잇고 싸고  괜잖아요	5점
77	소래회마루	스끼다시에 해산물 하나없다니  역시 소래포구답네. 몰라서는 가도 알고는 안 가죠.	1점
78	우리땅부동산	사장님이 너무 친절하세용 *^^* 감사합니다!	5점
79	홍두깨칼국수	만두는 손만두가아니고 공장만두에요. 	3점
80	길손물텀벙	용현동 물텀벙은 여기가 최고입니다. 친절하시고 양 푸짐하고. 젓갈이랑 땅콩도 맛나네요. 어머님이 아구찜 좋아하시는데 여기가 제일 맛난다고 하셨어요. 요즘 평일에는 일찍 문 닫으시나봐요 7시 30분에 문 닫으시니 그 전에 가서 드시길~ 오늘도 여러 손님 그냥 가셨네요  	5점
81	간판현수막	최고예요	5점
82	월드탁구장	어른이말을하면은 예 알겠습니다 맞는데요 제가 좋아하는동생을운동을시켜주려고데리고왔는데동생은눈치만 보고게임을망쳐버렸습니다 진짜!! 말로 표현을 못해서 화가납니다. 참고! 참고! 인터넷 댓글 올립니다.	1점
83	세인솔	"건물관리분야 및 인적필요조건을 모두 만족시키는 토탈 아웃쏘싱! 부실담보물(부동산,동산)의 보존관리."	5점
84	예일	최고예요	5점
85	우물옆그집	우연히 들어왔는데 깨끗하고 좋네요 꼬마 붕어빵도 맛있고 화장실도 깨끗하네여 강추 	5점
86	맥나인고시텔	전 개인적으로 개인화장실 샤워실이 같이 붙어 있어서 넘 좋음 비용도 적당한거 같고 만족만족~~	5점
87	오돈	최고예요	5점
88	레드모	품질 가격 마음에 듭니다. 성실한 서비스도 흡족하고요 만족스럽습니다	5점
89	인	Pretty nice	4점
90	썬	친절하시고 먹을거많고 편하고 좋아요~~^^!!	5점
91	바다양푼이동태탕	최고예요	5점
92	동양동파리바게트	친절히설명해주시고~맛난빵과 음료~잘먹었습니다~^^	5점
93	해밀헤어	원장님 진짜 친절하시고 정도 많으시고 실력도 좋으세요♥ 남자아기 머리이발하러 가는데 울고 소리질러도 달래가며 진짜 잘해주셔요♥ 이사가서도 계속 단골로 다니는 중입니다♥	5점
94	골목집칼국수	양은 많은데 맛은 없어요 매우 더러워요. 카드도 않되요 여길 내가 왜 왔을까 싶은곳	1점
95	부동산명가	최고예요	5점
96	장충동박촌족발	주인님이 바뀌고 분위기가 좀달라졌어요 더불어 가격도ㅠㅠ 포장은 더 쌌는데 너무아쉬워요 손님들도 많이바뀐거같아요 콩나물은 정말 맛있습니다	3점
97	100세건강원	최고예요	5점
98	한스랭어학원	유치부부터 초등부까지 쭉 보내봤는데요 아이들 발음이랑 영어실력이 쑥쑥 늘은게 눈에 보여서 흐뭇하고 감사드리고 있습니다. 지인들에게도 추천해주고 있습니다^^	5점
99	맛골손두부	좋아요	4점
100	송림패션몰	좋은 정보 감사합니다.	5점
101	풍성한갈비	반찬도 맛나고 돼지왕갈비도 맛있어요. 최고임듯	5점
102	강화해신탕	맛있습니다 친절합니다	5점
103	란쌈밥	맛있어요~~ 가성비 짱!!	5점
104	왕돈까스클럽	맛없음..	1점
105	타르트얌	진짜 맛있어요!!!! 어제 체리 타르트 먹었는데 너무 맛있어서 오늘 또 갔어요ㅎㅎ 하귤은 레어템이라는데 운좋게 먹어서 기분이 더 좋네요 총 세가지 먹었는데 전부 과일이 탱글탱글하고 맛있었어요!! 추천합니당	5점
106	남원추어탕	리얼미꾸라주 힘 넘쳐요 ㅋㅋ 	5점
107	대림부동산	더보기 클릭후 홈페이지 매물을 확인하세요. 물건 다양하게 있읍니다.	4점
108	감자탕형제들	조금 아쉬워요	2점
109	음악교육사	바이올린이 끈켜져서. 갔어요. 잘 고쳐주어 고맙습니다. 근데 또다시 망가졌어요. 갈게요.	5점
110	짝태패밀리	부평시장에가면 꼭 한번 가봐야겠네요^^	5점
111	하나공인중개사사무소	왠만하면 이런글안남기는데...다른부동산이랑 중개사님이 너무 인상이 좋아서 글남깁니다. 정직하시고 사기성이 없어서 믿을만한 곳이네요~~번창하세요....	5점
112	홍춘천치즈닭갈비	맛있게 잘 먹었습니다	5점
113	첫사랑공인중개사사무소	"송도에 너무 많은 부동산들이 있었는데 후기도 읽어보고 갔는데, 기대이상으로 좋았어요 꼼꼼하게 챙겨주셔서 고맙습니다"	5점
114	글라헤어	별로..돈아까워요...	1점
115	장터감자탕	최고예요	5점
116	화도공인중개사사무소	다른 부동산에서 땅을 샀는데 동생이 거래하는 화도부동산이 더 설명도 정확하고 좋군요^^ 다음에 강화도 가면 화도면 화도초등학교 앞에 있는 화도부동산 그냥 한번 가보세요 .. 	5점
117	해마루	우선  뒷뜰에 애견 아이들 뛰어놀기 좋고  일몰 일출  너무 예쁩니다 ~  보일러는 빵빵 하다못해 더웠어요 ~  여러명이 가족끼리 애견과 함께 오기 딱좋아요 !  사장님도 친절하시고 숯도 넉넉하니 좋아요  고즈넉한 가을  힐링 하고 가요 ~  (수선화 방 6인 ) 	5점
118	퀸네일	"가까운 곳에 네일샵이 생겨서, 호기심 반, 기대 반으로 젤 네일 받았는데.... 완전 만족해요!!! 일단 가격이 너무 부담없구 진짜 예뻐서 대만족!!! 친구가 여기 속눈썹도 잘한대요~원장님도 친절! 완전 강추예요!!^^"	5점
119	그린컴퓨터아트학원	"직접 인테리어과정 수강을 받았던 학생으로써, 좋았던점은 학사관리부터 취업까지여러가지 많은 도움을 받았던 기억이나네요 수강을 받을때도 강의실 안에도 소수반으로 편하게질문하고 피드백도 잘해주심! 막연하게 인테리어가 하고싶어 배우러갔는데 과정마다 기초부터 시작할 수 있어서 더욱더 좋았어요 인생은 선택과집중이라고하는데 잘선택해서 여러모로 집중할수있었습니다."	5점
120	은산종합건재	최고예요	5점
121	호프광장	쌀치킨 대박.  	5점
122	참솔영양탕오리	"친절하고,맛있습니다~"	5점
123	영남자동차공업사	친절하고 정성스럽게 잘 해 주십니다. 	5점
124	인천라코스테	최고예요	5점
125	갯벌민박	편안하게. 잠도 자고  이것저것 세심하게 잘 챙겨주셔서마음편히 1박2일 하고 왔답니다.다음번에도 꼭! 갈께요~^^~	5점
126	먹골촌	좋아요	4점
127	로이드밤	좋던데~^^요	4점
128	금강불가마사우나	우리동네 목욕탕수준.. 크게 기대하지는 말고 그냥 저녁에 씻는정도 찜질방수준은 아님  그리고 아래 두번연속 글쓰신분... 누굴까요..?	1점
129	꼬물꼬국어교습소	nice place	4점
130	렌트코리아	어? 광고올리셨네요??? 여름에 한번 갔었는데 ㅎㅎ 신기하네요	5점
131	이커피	사장님이 너무 친절하시고 실력도 좋으세요~	5점
132	애견세상	여기 사장님 안하무인에 미용환경 호텔환경 정말 최악이에요!!!! 냄새도 어느 정도는 강아지들이 많이 있으니까 그럴 수 있다고 백번천번 이해한다고 치지만...  가게부터 쩐내가 안쪽으로 가면 갈수록 코를 쩐내가 코를 찌르는데 어휴... 급하게 맡겨야 해서 예약없이 바로 가능한곳이 이곳뿐이였어서 전화 예약하고 간건데 환경이 정말이지....   내가 가면 어디서...	1점
133	카페꾸하쥬	보통이에요	3점
134	풍년족발	"편육, 족발 맛있어요. 곱창전골은 별로"	4점
135	파트너ENG	"에어컨 설치하는데 22만원 이나 드네요.. 거치대 볼트 비용으로만 4개 2만, 가스 충전 3만에다 추가로 공기 빼야 시원하다고 3만 추가 등등 눈탱이 치고 공사 불순물들 아파트 동 입구에다 버리고 가고.. 설치하실 분들 참고하셔요..."	1점
136	삼진타이어판매	최고!	5점
137	옹진모텔	최고예요	5점
138	세차하는사람들	여기서 세차를 했는데 파손이 일어낫음에도 불구하고 발뻄을 합니다  주의하세요	1점
139	빵굽는동네	"빵이 맛없음. 봉투담아줄때 손에 침묻혀서 봉투잡고, 빵 한개들어갈 포장지에 두개 억지로 쑤셔넣어서 다른 빵 하나가 옆으로 삐져나옴. 별 5개중에 0.1개"	1점
140	샬롬크리닝	값이 무지 싸네요~	5점
141	솔잎정육식당	맛있습니다^^	5점
142	천만애능이버섯	보통이에요	3점
143	고릴라왕해물찜	해물찜맛은 보통인데 방바닥이 드러워 양말이 시커매짐~음식점은 위생이 중요한데 청소는 안하나봄	1점
144	황토흙가마구이보쌈	뜨끈한 돌솥밥에 오이 바베큐가 나오는  오리정식 1만원..가격은 저렴하지 않지만 맛은 보장^^	4점
145	짝태&노가리	불친절. 뻥튀기좀 더달라했다가 있지도않은 1안주 1뻥튀기 규정에 분위기 쌉망침. 안가요이제. 뻥튀기 얼마나한다고	1점
146	참진국설렁탕	정말 젤 좋아하는 가게예요 육개장 먹는데 넘 맛있거고 양도 풍성하고 수제로 만드는 만두가 반찬에 두부김치도 반찬으로 나와요 가장 좋은건 가족이 하시는거 같은데 정말 친절해요<아 김치도 만든 김치같이요	5점
147	현대부동산공인중개사사무소	여기서 전세대출받아서 집구할 생각이시면 그만두시길 계약금반환특약 넣어주냐고 하니까 그런건 안된다고 어딜가도 안 넣어줄거라고 그러길래 계약안했는데 다른 집 보면서 다른 중개사님들한테 여쭤보니 말이 안된다고 함 아니 대출 부결나면 계약금 몇 백만원 그냥 날리는건데 누가 계약을 합니까ㅋㅋㅋㅋ 요즘 전세난이라 계약 할 사람은 다 하는 거 알겠는데 그런식으로 특약은...	1점
148	씨알학원	14년 차의 부평 대표 언어 논술 전문학원입니다. 수능 언어영역 1등급과 대입 논술 최종합격의 징검다리 씨알학원으로 연락 주세요.	5점
149	고추나라	신속 정확 원산지확실 친절 상냥	5점
150	두성도예교실	최고~^^	5점
151	펫매니저	깨끗하고  무엇보다  품질이  좋고   미용  미뻐요   ㅎㅎ ㅎㅎ	5점
152	애견미용샵	오늘 미용받았어요>_<여태까지 강아지 미용시키면서 제~일 맘에 들었던 곳이에요! 너무너무 만족!이쁘게 강아지에게 두건도 매주셔서 더 만족이였습니당!!!	5점
153	마노주얼리	첫 눈에 반할만큼 모델이 너무나 아름다워요 	5점
154	트리플하우스	좋아요	4점
155	솔루체피자	십소름이다 주문한지 1시간 20분넘어서 전화했는데 전화 받지도 않음 개소름 ㄹㅇ 이런집은 시켜먹지 말자 가게가 잠수 타는건 처음봄 와 미친ㅋㅋ	1점
156	LG전자bestshop	"설명 다 듣고 생각해보고 연락하겠다니까 갑자기 표정 싹 바뀌고 태도도 변함.  이미 견적 다 알고, 심지어 뭘 사면 사은품으로 뭘 주는지도 다 알고 갔는데... 제품 설명하면서 자기가 인심 써서 서비스로 넣어준다는 등 하는 거 보고 구매보류 했는데.... 그냥 여기서 가전 안 사길 잘 했어요 ^^"	1점
157	홍어전문점	최고예요	5점
158	르보	연남동 계시다가 부천 오셨다고 들었는데 실력 정말 좋으세요!	5점
159	반메이	음식도 맛있고 댕댕이도 환영해주셔서 행복했어요. 분짜가 취향저격! 서비스로 따끈바삭한 짜조도 주심... 강아지가 너무 먹고싶어해서 정말 눈꼽만큼 떼줌 ㅜ.ㅜ	5점
160	맛있는장인보쌈	"항상 남편과집에서 배달시켜먹는곳. 사모님항상 친절하게주문받아주시고맛은 물론, 양도 서비스도 항상 신경써서 더챙겨주시는느낌을 받는다는...다른곳에서 보쌈 못먹겟어요이젠... 오늘도 맛잇게 잘먹엇습니다~사모님감사해요 "	5점
161	네네치킨	전화않받네.가계하는거야머야?!	1점
162	쉐라메르	2002년에 여기서 딱 4개월쯤 알바를 했었어요. 수능보고 시간남앗을 때ㅋㅋ아직도 그대로 있어 신기해요. 여기 지하에서 빵 만들고 케익도 자체 연구 개발하고 정직원들에게 숙식도 제공했는데 지금도 그런가요? 판매하긴 애매하지만 먹을만한 재고가 남으면 늘 기부 하고.. 알바들끼리 아침에 전날 다 팔지못한 햄버거도 먹고 그랬는데 참 맛있었어요.. 그래서 4개월 ...	5점
163	영일궁	고기는 맛있는데 점심특선은 별로예요 음식도 다 식어서 나오고..	2점
164	스시애	초밥 말고 밥 먹으러 가는 곳	1점
165	지스순대곱창	최고예요	5점
166	박가네낙지육회탕탕이	"간장새우도 겁나 맛나고요,나물들도,그리고 생선도 짱, 육회 낙지탕탕이도 맛나요,사장님 사모님도 친절하시네요 담에 또 올래요 "	5점
167	소망공인중개사	사장님 너무 친절하시고 매물 설명 너무 잘해주셔서 감사했습니다.	5점
168	마약부대찌개	계란 라면사리 공기밥 무한 가격저렴 친절함	4점
169	와이즈에듀학원	좋아요~~^^	5점
170	연성호	다시 가라고 한다면 안간다.  음식이 전체적으로 맛이없다. 	1점
171	ON수리카페	재미있는 곳이에요..	5점
172	포리롱	에그타르트	5점
173	럭키부동산	친절하게 소개 해 주셔서 고마워요^^ 번창 하세요~	5점
174	유천가든	리뷰 좋아서 갔는데...ㅠㅠ 오리주물럭에 볶음밥 먹고왔는데 정말 맛대가리 없어서.... 다른걸로 유명한 맛집인가봐요	1점
175	국강순대	많이 비리고 맛도 음....;	2점
176	도모다찌	"칠면조 안주맛도 괜찮고, 써비스 안주도 주시고.. 친절함과 맛이 좋습니다^^"	5점
177	란헤어	항상 예쁘게 머리 다듬어주시는 사장님! 감사해요~	5점
178	소설약속다방	사장님이상냥하시고 커피도맛있었어요 ‥	3점
179	트루타이마사지	와 여기 저도 즐겨찾는곳인데! 정말 타이마사지 시원하게 잘받았습니다!! 적극추천드려요!	5점
180	오후hair	조금 아쉬워요	2점
181	이호정육식당	좋아요	4점
182	렌트코리아인천	어? 광고올리셨네요??? 여름에 한번 갔었는데 ㅎㅎ 신기하네요	5점
183	고기식당	지난 주말 송도에 사는 친구부부 만나러 갔다가 센트럴공원 가서 바람쐬고 여기서 저녁 맛있게 먹고 왔습니다. 한우특수부위? 먹었는데 역시 탁월한 선택이었습니다. 친구부부도 아이들도 맛있게 먹고 기분좋은 주말저녁이었습니다~~	5점
184	용현동커피롭다	사장님이 친절하시고 샌드위치류가 진짜 맛있어요!	5점
185	나라니	고양이 너무 너무 귀엽고....  매장이 인테리어도 예쁘지만 화장실이나 매장 모두 깔끔해서 정말 좋았어요. 그리고 음료랑 디저트도 괜찮았습니다. 	5점
186	장수고을	해물찜 맛있게 먹었습니다^^	4점
187	보니봄네일속눈썹	최고예요	5점
188	논현동컴퓨터수리	저녁에 불렀는데 바로오셔서 파워 교체해주시고 프로그램도 정리해주시고 너무 감사드려요...!! 담엔 조금 일찍 전화드릴께요...^^	5점
189	마포식당	가성비 굿!!	4점
190	호텔아띠	모기가 ~모기가  어엄청 많아요 방충망 있어도  소용없음 사장님  왈~   모텔이 공원 근처라 원래 모기 많다고 함 방  베게는   누우렇고  방이  오래된 여인숙 냄새가   심하게 남     지저분   냄새  모기  	1점
191	GS25간석타임	최고예요	5점
192	Dejavu	원장님이 센스 있으세요	5점
193	싱싱마트	최고예요	5점
194	호텔주노	피씨방이 따로없어네요 완전 최고예여	5점
195	돔베냉면	보통이에요	3점
196	산들바람	"족구장과 노래방기계가 있어 친구들 모임할 때 좋았습니다. 음식점 뒤쪽으로 연못,정원, 밭,산이 차례로 펼쳐져 사진찍기에도 좋았습니다. "	5점
197	모나리자헤어모드	여기 머리 자르는데 만이천원 조용해보여서 허름해도 들어갔더니만 그냥 다른곳갈껄 허름하고 조용한데는 이유가 있는가봄 집에서 혼자자를껄 돈아깝고 시간아깝고 내머리 아깝다. 쪽팔려서 나가지도 못하겠음 ㅋㅋ	1점
198	요.밥	"월-소고기, 화-생선, 수-닭, 목-찌개, 금-돼지, 토-랜덤, 일-쉼 나름 백반집 괜찮은 곳"	5점
199	삼천리자전거	삼천리자전거 간석점(자전거소굴)에서 개업1주년 고객감사 특별할인 행사를 진행하고 있습니다. - 자전거 20~50% 특별할인 - 기간:2013.1.25~2.19	5점
200	약선삼계탕	유일하게 국물까지 다먹는곳ㅎ	5점
201	페리카나치킨	그닭	3점
202	모둠회센터	최고예요	5점
203	진주만두	"동지라고 할아버지께서 팥죽 부탁을 하셔서 가까운 시장으로 갔어요. 줄이 굉장히 길었는데 기다린 보람이 없네요 ㅎㅎ 달고 너무 묽은 거 같아요. 아주 단 건 아니지만, 손님들 취향이 다 있을텐데 왜 설탕간을 하실까요.. 여기 경상도도 아닌데.. 별로여서 혹시 묽고 단거 싫어하시는 분들은 참고하시라고 팥죽 후기 남겨요."	1점
204	경성한우불고기	맛 보통..불친절..	1점
205	북해도참치	갈 때마다 기분이 좋아지는 곳 입니다^^ 맛도 있고 친절도 하시고~~~~	5점
206	오색시루	최고예요	5점
207	클라우드나인	청라 플라워카페 클라우드나인 직통전화 : 010-2260-1340	5점
208	샤샤롱	뚱카롱도 맛있는데 다쿠아즈가 진짜 맛있어요	5점
209	다사리아꼬치	혼자일에만  집중하다보니 손님은 안중에도 없음~~	1점
210	던킨도너츠부평세림병원	보통이에요	3점
211	소빛	"12000원에 이만큼이라뇨,,, 보리굴비1 소빛2 시켰는데 상다리 부러지도록 나왔어요ㅠㅠ 고등어가 기본으로 나올 줄 몰랐는데 고등어구이도 너무 맛있구.. 제육도 진짜 맛있구.. 돼지고기가 너무 부드럽구.. 보리굴비는 하나 시켰는데 녹찻물 세개 다 주셔서 맛있게 잘 나눠먹었어요! 너무 맛있어서 배부른데도 한공기 뚝딱 했네욤. 밥강도에요ㅎㅎㅎㅎ 시설도 깔끔하고..."	5점
212	카페와이	"분위기 좋고, 커피맛 좋은 편안한 커피전문점~"	5점
213	신촌샤브샤브	메뉴 대부분 평타침. 쏘쏘	3점
214	황제장충동왕족발	족발이 부드럽고 맛있네요. 잡내도 안나고 배달도 빨라서 좋았어요.	5점
215	유설희간호조무사학원	좋아요~~저도 여기 다녔어요~~^^	3점
216	곤드레밥집	K-브런치~~~ 재료도 신선하고 자극적이지 않아 좋아용 주말에 자주 오게 되는 집	5점
217	서인천탁구교실	서인천탁구클럽은 타구장에 비해 분위기가 가족 같습니다..항상 웃고 즐거움이 넘쳐 납니다~^^ 그리고 매주 토요일마다 Open 리그전도 하고 매주 수요일마다 구장회원들만의 복식게임도 하여 초보자들도 같이 어울려서 운동할 수 있어서 좋아요~^^ 	5점
